Name,Price,Availability,Brand,Rating,Review_Count,Star_5,Star_4,Star_3,Star_2,Star_1,Delivery_By_Pincode,Sponsored,Specifications
Titan Watch Model 181,₹2481,In Stock,Titan,4.3,3995,2920,1200,223,241,71,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Noise Watch Model 182,₹9509,In Stock,Noise,4.2,2560,546,744,58,50,95,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Titan Watch Model 183,₹7270,In Stock,Titan,4.0,4360,1516,211,697,187,139,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Sonata Watch Model 184,₹4469,In Stock,Sonata,5.0,4806,1554,380,375,279,123,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Noise Watch Model 185,₹3175,In Stock,Noise,4.0,2350,914,1237,541,384,153,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fossil Watch Model 186,₹9324,In Stock,Fossil,4.7,2196,839,708,422,330,188,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Sonata Watch Model 187,₹9498,In Stock,Sonata,4.1,753,800,1359,275,293,156,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Fastrack Watch Model 188,₹5450,In Stock,Fastrack,3.7,3286,162,129,526,58,108,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Casio Watch Model 189,₹9532,In Stock,Casio,4.0,2325,2835,324,624,300,108,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Sonata Watch Model 190,₹3104,In Stock,Sonata,4.6,1826,2821,379,79,288,161,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Casio Watch Model 191,₹2309,In Stock,Casio,4.3,3437,2349,542,55,378,80,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Casio Watch Model 192,₹1678,In Stock,Casio,4.6,4809,1960,41,72,18,124,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Boat Watch Model 193,₹9955,In Stock,Boat,4.1,3691,535,285,443,137,140,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Fossil Watch Model 194,₹5832,In Stock,Fossil,5.0,3512,1869,638,200,312,64,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Titan Watch Model 195,₹898,In Stock,Titan,4.9,3278,1857,670,563,22,59,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Casio Watch Model 196,₹8578,In Stock,Casio,4.0,260,1548,333,21,156,40,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Timex Watch Model 197,₹5999,In Stock,Timex,3.6,4938,466,172,287,362,73,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
Noise Watch Model 198,₹5715,In Stock,Noise,3.9,3125,2279,804,301,6,52,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Noise Watch Model 199,₹8281,In Stock,Noise,4.3,2144,2142,1295,180,45,127,Delivery in 3-5 days,No,Analog|Water Resistant|Leather Strap
Timex Watch Model 200,₹9090,In Stock,Timex,3.7,214,2355,1013,354,45,60,Delivery in 3-5 days,Yes,Analog|Water Resistant|Leather Strap
